ResUnitStatus,,,,,,,,,,,,,,,,,,,,,
Property_Code,Ref_Property_ID,StartDate,EndDate,Unit_Code,Date,Status,Tenant_Code,Ext_Ref_Tenant_Id,ApplyDate,ApproveDate,SignDate,MoveInDate,MoveOutDate,LeaseFromDate,LeaseToDate,NoticeDate,AvailableDate,RentReady,VacantDate,ReadyDate,Ref_Unit_Id
ce,,4/1/2013,4/18/2013,C5254M,4/17/2013,Vacant Unrented Not Ready,,,,,,,,,,,4/1/2013,0,4/17/2013,4/1/2013,
ce,,4/1/2013,4/29/2013,C5324E,4/17/2013,Vacant Unrented Not Ready,,,,,,,,,,,4/1/2013,0,4/17/2013,4/1/2013,
ce,,4/1/2013,4/18/2013,C0011D,4/17/2013,Vacant Unrented Not Ready,,,,,,,,,,,4/1/2013,0,4/17/2013,4/1/2013,
ce,,4/1/2013,4/18/2013,M0032A,4/17/2013,Vacant Unrented Not Ready,,,,,,,,,,,4/1/2013,0,4/17/2013,4/1/2013,
ce,,4/1/2013,4/18/2013,S1500-7C,4/17/2013,Vacant Unrented Not Ready,,,,,,,,,,,4/1/2013,0,4/17/2013,4/1/2013,
ce,,5/14/2013,5/14/2013,M0034E,5/14/2013,Vacant Unrented Not Ready,,,5/17/2013,,,,,,,,5/5/2013,0,4/30/2013,5/5/2013,
ce,,5/20/2013,5/21/2013,M0012D,5/20/2013,Vacant Rented Ready,,,,,,5/22/2013,,5/22/2013,5/31/2014,,,1,5/1/2013,5/16/2013,
ce,,5/20/2013,5/20/2013,M0030F,5/20/2013,Vacant Rented Ready,,,,,,,,,,,,1,4/30/2013,5/16/2013,
ce,,5/20/2013,5/20/2013,C5254K,5/20/2013,Vacant Rented Ready,,,,,,,,,,,,1,4/30/2013,5/16/2013,
ce,,5/29/2013,5/31/2013,C05268,5/29/2013,Vacant Rented Ready,,,,,,,,,,,,1,4/30/2013,5/27/2013,
ce,,6/13/2013,6/24/2013,C5307L,6/13/2013,Vacant Unrented Ready,,,5/9/2013,5/9/2013,,,,,,,6/5/2013,1,6/12/2013,6/5/2013,
ce,,6/13/2013,6/13/2013,C5324M,6/13/2013,Vacant Rented Ready,,,,,,,,,,,,1,4/30/2013,5/19/2013,
ce,,6/25/2013,7/19/2013,S1458M,6/25/2013,Vacant Rented Not Ready,,,,,,,,,,,,0,6/17/2013,6/22/2013,
ce,,6/27/2013,7/12/2013,M0014B,6/27/2013,Vacant Rented Ready,,,,,,,,,,,,1,5/31/2013,6/27/2013,
ce,,7/11/2013,7/11/2013,S1456C,7/11/2013,Vacant Rented Ready,,,,,,,,,,,,1,5/31/2013,7/2/2013,
ce,,7/11/2013,7/18/2013,S1500-5F,7/11/2013,Vacant Rented Ready,,,,,,,,,,,,1,5/31/2013,7/11/2013,
ce,,8/19/2013,8/29/2013,M0016A,8/19/2013,Vacant Unrented Not Ready,,,8/7/2013,8/7/2013,,,,,,,8/3/2013,0,7/29/2013,8/3/2013,
ce,,8/29/2013,9/5/2013,M0016A,8/29/2013,Vacant Unrented Ready,,,8/7/2013,8/7/2013,,,,,,,8/3/2013,1,7/29/2013,8/29/2013,
ce,,9/19/2013,9/25/2013,S1452A,9/19/2013,Vacant Unrented Ready,,,9/12/2013,9/12/2013,,,,,,,9/13/2013,1,8/31/2013,9/13/2013,
ce,,10/21/2013,11/10/2013,C5271F,10/21/2013,Vacant Unrented Ready,,,9/9/2013,9/9/2013,,,,,,,10/5/2013,1,10/19/2013,10/5/2013,
ce,,10/21/2013,10/21/2013,C5271E,10/21/2013,Vacant Rented Not Ready,,,,,,,,,,,,0,9/30/2013,10/5/2013,
