ResUnitTypes
UnitType_Code,Ref_Property_ID,Property_Code,Description,Rent,SQFT,Beds,Baths,Deposit,MinimumRent,Maximim_Rent,UserDefined_1,UserDefined_2,UserDefined_3,UserDefined_4
"wait",,,"Wait 2/2",721.00,868.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"ce1a",,"ce","1/1 - Maple",675.00,675.000000,1,1.000000,199.00,0.000000,0.000000,,,,
"ce1b",,"ce","1/1 - Juniper",650.00,635.000000,1,1.000000,199.00,0.000000,0.000000,,,,
"ce1c",,"ce","1/1 - Birch I",749.00,905.000000,1,1.000000,199.00,0.000000,0.000000,,,,
"ce1d",,"ce","1/2 - Birch II",775.00,905.000000,1,2.000000,199.00,0.000000,0.000000,,,,
"ce2a",,"ce","2/1 - Birch III",799.00,905.000000,2,1.000000,199.00,0.000000,0.000000,,,,
"ce2b",,"ce","2/1 - Oak II",800.00,955.000000,2,1.000000,199.00,0.000000,0.000000,,,,
"ce2c",,"ce","2/1 - Sycamore",800.00,955.000000,2,1.000000,199.00,0.000000,0.000000,,,,
"ce2d",,"ce","2/1.5 - Pinoak",830.00,955.000000,2,1.500000,199.00,0.000000,0.000000,,,,
"ce2e",,"ce","2/1.5 - Hemlock",770.00,875.000000,2,1.500000,199.00,0.000000,0.000000,,,,
"ce2f",,"ce","2/2 - Birch IV",780.00,955.000000,2,2.000000,199.00,0.000000,0.000000,,,,
"ce2g",,"ce","2/2 - Oak I",820.00,955.000000,2,2.000000,199.00,0.000000,0.000000,,,,
"ce2h",,"ce","2/1.5 - Spruce",929.00,1088.000000,2,1.500000,199.00,0.000000,0.000000,,,,
"ce3a",,"ce","3/2.5 - Pine",1099.00,1400.000000,3,2.500000,199.00,0.000000,0.000000,,,,
"ce2ereno",,"ce","2/1.5 - Hemlock (Reno)",899.00,875.000000,0,0.000000,0.00,0.000000,0.000000,,,,
"ce1ar",,"ce","1/1 - Maple (Reno)",770.00,675.000000,1,1.000000,0.00,0.000000,0.000000,,,,
