,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
2,ce,t0013745,Rent Change,2013-04-30,C05266,2006-11-09,,870.0,0,1400,3,2.5,870.0,
3,ce,t0013745,Rent Change,2014-05-31,C05266,2006-11-09,2015-01-31,896.0,1,1400,3,2.5,26.0,245 days 00:00:00.000000000
8,ce,t0013747,Rent Change,2013-04-30,C05270,2012-07-16,2013-08-11,770.0,1,1088,2,1.5,770.0,103 days 00:00:00.000000000
18,ce,t0013748,Rent Change,2013-04-30,C05272,2012-09-28,,770.0,0,1088,2,1.5,770.0,
19,ce,t0013748,Rent Change,2013-09-30,C05272,2012-09-28,,800.0,0,1088,2,1.5,30.0,
20,ce,t0013748,Rent Change,2014-11-01,C05272,2012-09-28,2015-10-31,824.0,1,1088,2,1.5,24.0,364 days 00:00:00.000000000
27,ce,t0013749,Rent Change,2013-04-30,C05274,2008-11-26,,880.0,0,1400,3,2.5,880.0,
28,ce,t0013749,Rent Change,2013-10-31,C05274,2008-11-26,,1795.0,0,1400,3,2.5,915.0,
29,ce,t0013749,Rent Change,2013-12-01,C05274,2008-11-26,,880.0,0,1400,3,2.5,-915.0,
30,ce,t0013749,Rent Change,2013-12-31,C05274,2008-11-26,,915.0,0,1400,3,2.5,35.0,
31,ce,t0013749,Rent Change,2015-03-01,C05274,2008-11-26,,924.0,0,1400,3,2.5,9.0,
32,ce,t0013749,Rent Change,2016-02-29,C05274,2008-11-26,,970.0,0,1400,3,2.5,46.0,
33,ce,t0013749,Rent Change,2018-02-28,C05274,2008-11-26,,1044.0,0,1400,3,2.5,74.0,
36,ce,t0013750,Rent Change,2013-04-30,C05276,2001-07-21,,880.0,0,1400,3,2.5,880.0,
37,ce,t0013750,Rent Change,2013-06-30,C05276,2001-07-21,,890.0,0,1400,3,2.5,10.0,
38,ce,t0013750,Rent Change,2014-06-30,C05276,2001-07-21,,917.0,0,1400,3,2.5,27.0,
39,ce,t0013750,Rent Change,2015-06-30,C05276,2001-07-21,,945.0,0,1400,3,2.5,28.0,
40,ce,t0013750,Rent Change,2016-06-30,C05276,2001-07-21,2017-06-30,999.0,1,1400,3,2.5,54.0,365 days 00:00:00.000000000
45,ce,t0013751,Rent Change,2013-04-30,C05278,2011-09-16,,780.0,0,1088,2,1.5,780.0,
46,ce,t0013751,Rent Change,2013-09-30,C05278,2011-09-16,,803.0,0,1088,2,1.5,23.0,
47,ce,t0013751,Rent Change,2014-01-31,C05278,2011-09-16,,1606.0,0,1088,2,1.5,803.0,
48,ce,t0013751,Rent Change,2014-02-28,C05278,2011-09-16,,803.0,0,1088,2,1.5,-803.0,
49,ce,t0013751,Rent Change,2015-01-01,C05278,2011-09-16,,810.0,0,1088,2,1.5,7.0,
50,ce,t0013751,Rent Change,2015-06-30,C05278,2011-09-16,2015-10-18,834.0,1,1088,2,1.5,24.0,110 days 00:00:00.000000000
56,ce,t0013752,Rent Change,2013-04-30,C05280,2010-04-23,,780.0,0,1088,2,1.5,780.0,
57,ce,t0013752,Rent Change,2014-05-31,C05280,2010-04-23,,803.0,0,1088,2,1.5,23.0,
58,ce,t0013752,Rent Change,2015-05-31,C05280,2010-04-23,,827.0,0,1088,2,1.5,24.0,
59,ce,t0013752,Rent Change,2016-05-31,C05280,2010-04-23,2017-05-31,859.0,1,1088,2,1.5,32.0,365 days 00:00:00.000000000
65,ce,t0013753,Rent Change,2013-04-30,C05282,2012-07-14,2013-07-31,880.0,1,1400,3,2.5,880.0,92 days 00:00:00.000000000
70,ce,t0013754,Rent Change,2013-04-30,C05284,1986-11-26,2014-01-29,880.0,1,1400,3,2.5,880.0,274 days 00:00:00.000000000
75,ce,t0013755,Rent Change,2013-04-30,C0003A,2010-07-29,,630.0,0,905,2,1.0,630.0,
76,ce,t0013755,Rent Change,2013-06-30,C0003A,2010-07-29,2013-07-31,640.0,1,905,2,1.0,10.0,31 days 00:00:00.000000000
83,ce,t0013756,Rent Change,2013-04-30,C0003B,2008-09-01,,630.0,0,905,2,1.0,630.0,
84,ce,t0013756,Rent Change,2013-09-01,C0003B,2008-09-01,,660.0,0,905,2,1.0,30.0,
85,ce,t0013756,Rent Change,2014-09-30,C0003B,2008-09-01,2015-08-15,680.0,1,905,2,1.0,20.0,319 days 00:00:00.000000000
94,ce,t0013757,Rent Change,2013-04-30,C0003C,2012-08-03,,640.0,0,905,2,1.0,640.0,
95,ce,t0013757,Rent Change,2013-09-01,C0003C,2012-08-03,2014-08-31,670.0,1,905,2,1.0,30.0,364 days 00:00:00.000000000
104,ce,t0013758,Rent Change,2013-04-30,C0003D,2003-10-01,2013-08-31,640.0,1,905,2,1.0,640.0,123 days 00:00:00.000000000
116,ce,t0013759,Rent Change,2013-04-30,C0003E,2008-06-26,,640.0,0,905,2,1.0,640.0,
117,ce,t0013759,Rent Change,2013-06-30,C0003E,2008-06-26,2014-06-01,650.0,1,905,2,1.0,10.0,336 days 00:00:00.000000000
125,ce,t0013760,Rent Change,2013-04-30,C0003F,2003-09-19,,640.0,0,905,2,1.0,640.0,
126,ce,t0013760,Rent Change,2013-12-01,C0003F,2003-09-19,2014-08-25,665.0,1,905,2,1.0,25.0,267 days 00:00:00.000000000
137,ce,t0013761,Rent Change,2013-04-30,C0003G,2012-10-13,2013-10-31,640.0,1,905,2,1.0,640.0,184 days 00:00:00.000000000
145,ce,t0013762,Rent Change,2013-04-30,C0003H,2009-12-02,,640.0,0,905,2,1.0,640.0,
146,ce,t0013762,Rent Change,2014-05-31,C0003H,2009-12-02,,659.0,0,905,2,1.0,19.0,
147,ce,t0013762,Rent Change,2015-05-31,C0003H,2009-12-02,2016-04-21,679.0,1,905,2,1.0,20.0,326 days 00:00:00.000000000
152,ce,t0013763,Rent Change,2013-04-30,C0003J,2011-11-11,2013-11-30,650.0,1,905,2,1.0,650.0,214 days 00:00:00.000000000
164,ce,t0013764,Rent Change,2013-04-30,C0003K,2011-08-19,,650.0,0,905,2,1.0,650.0,
165,ce,t0013764,Rent Change,2013-10-31,C0003K,2011-08-19,2014-01-13,676.0,1,905,2,1.0,26.0,74 days 00:00:00.000000000
172,ce,t0013765,Rent Change,2013-04-30,C0003L,2012-08-01,,650.0,0,905,2,1.0,650.0,
173,ce,t0013765,Rent Change,2013-08-01,C0003L,2012-08-01,,680.0,0,905,2,1.0,30.0,
174,ce,t0013765,Rent Change,2014-07-31,C0003L,2012-08-01,,700.0,0,905,2,1.0,20.0,
175,ce,t0013765,Rent Change,2014-09-01,C0003L,2012-08-01,,710.0,0,905,2,1.0,10.0,
176,ce,t0013765,Rent Change,2015-07-31,C0003L,2012-08-01,2016-07-31,720.0,1,905,2,1.0,10.0,366 days 00:00:00.000000000
180,ce,t0013766,Rent Change,2013-04-30,C0003M,2009-04-30,2013-06-30,650.0,1,905,2,1.0,650.0,61 days 00:00:00.000000000
192,ce,t0013767,Rent Change,2013-04-30,C0007A,2012-05-04,2013-07-19,555.0,1,675,1,1.0,555.0,80 days 00:00:00.000000000
199,ce,t0013768,Rent Change,2013-04-30,C0007B,2012-06-20,,560.0,0,675,1,1.0,560.0,
200,ce,t0013768,Rent Change,2013-06-30,C0007B,2012-06-20,2013-07-19,570.0,1,675,1,1.0,10.0,19 days 00:00:00.000000000
212,ce,t0013769,Rent Change,2013-04-30,C0007C,2013-02-14,2014-02-28,570.0,1,675,1,1.0,570.0,304 days 00:00:00.000000000
220,ce,t0013770,Rent Change,2013-04-30,C0007D,2013-04-05,2013-11-30,570.0,1,675,1,1.0,570.0,214 days 00:00:00.000000000
228,ce,t0013771,Rent Change,2013-04-30,C0007E,2011-10-01,,570.0,0,675,1,1.0,570.0,
229,ce,t0013771,Rent Change,2013-09-30,C0007E,2011-10-01,2014-02-05,590.0,1,675,1,1.0,20.0,128 days 00:00:00.000000000
239,ce,t0013772,Rent Change,2013-04-30,C0007F,2009-08-08,2013-08-31,570.0,1,675,1,1.0,570.0,123 days 00:00:00.000000000
247,ce,t0013773,Rent Change,2013-04-30,C0007G,2012-05-10,,570.0,0,675,1,1.0,570.0,
248,ce,t0013773,Rent Change,2013-06-30,C0007G,2012-05-10,,580.0,0,675,1,1.0,10.0,
249,ce,t0013773,Rent Change,2014-05-31,C0007G,2012-05-10,,597.0,0,675,1,1.0,17.0,
250,ce,t0013773,Rent Change,2015-05-31,C0007G,2012-05-10,,615.0,0,675,1,1.0,18.0,
251,ce,t0013773,Rent Change,2016-05-31,C0007G,2012-05-10,2016-09-30,639.0,1,675,1,1.0,24.0,122 days 00:00:00.000000000
257,ce,t0013774,Rent Change,2013-04-30,C0007H,2011-06-15,,570.0,0,675,1,1.0,570.0,
258,ce,t0013774,Rent Change,2013-06-30,C0007H,2011-06-15,2014-06-30,580.0,1,675,1,1.0,10.0,365 days 00:00:00.000000000
263,ce,t0013775,Rent Change,2013-04-30,C0007J,2010-05-28,,580.0,0,675,1,1.0,580.0,
264,ce,t0013775,Rent Change,2013-06-30,C0007J,2010-05-28,,590.0,0,675,1,1.0,10.0,
265,ce,t0013775,Rent Change,2014-06-30,C0007J,2010-05-28,,608.0,0,675,1,1.0,18.0,
266,ce,t0013775,Rent Change,2015-07-31,C0007J,2010-05-28,2016-07-31,629.0,1,675,1,1.0,21.0,366 days 00:00:00.000000000
271,ce,t0013776,Rent Change,2013-04-30,C0007K,2012-08-17,2013-07-31,580.0,1,675,1,1.0,580.0,92 days 00:00:00.000000000
285,ce,t0013777,Rent Change,2013-04-30,C0007L,2011-09-17,,580.0,0,675,1,1.0,580.0,
286,ce,t0013777,Rent Change,2013-09-30,C0007L,2011-09-17,2013-10-31,600.0,1,675,1,1.0,20.0,31 days 00:00:00.000000000
297,ce,t0013778,Rent Change,2013-04-30,C0007M,2011-03-15,2013-09-03,580.0,1,675,1,1.0,580.0,126 days 00:00:00.000000000
311,ce,t0013779,Rent Change,2013-04-30,C0011A,2012-07-01,,630.0,0,905,2,1.0,630.0,
312,ce,t0013779,Rent Change,2013-06-30,C0011A,2012-07-01,,640.0,0,905,2,1.0,10.0,
313,ce,t0013779,Rent Change,2013-10-31,C0011A,2012-07-01,2014-05-01,665.0,1,905,2,1.0,25.0,182 days 00:00:00.000000000
323,ce,t0013780,Rent Change,2013-04-30,C0011B,2012-08-15,2013-08-31,630.0,1,905,2,1.0,630.0,123 days 00:00:00.000000000
330,ce,t0013781,Rent Change,2013-04-30,C0011C,2012-11-05,,630.0,0,905,2,1.0,630.0,
331,ce,t0013781,Rent Change,2013-12-01,C0011C,2012-11-05,2014-09-30,657.0,1,905,2,1.0,27.0,303 days 00:00:00.000000000
338,ce,t0013782,Rent Change,2013-04-30,C0011E,2011-07-01,,640.0,0,905,2,1.0,640.0,
339,ce,t0013782,Rent Change,2013-06-30,C0011E,2011-07-01,2014-08-11,650.0,1,905,2,1.0,10.0,407 days 00:00:00.000000000
350,ce,t0013783,Rent Change,2013-04-30,C0011F,2010-07-09,,640.0,0,905,2,1.0,640.0,
351,ce,t0013783,Rent Change,2013-08-01,C0011F,2010-07-09,2014-07-31,655.0,1,905,2,1.0,15.0,364 days 00:00:00.000000000
357,ce,t0013784,Rent Change,2013-04-30,C0011G,2012-07-28,2013-07-31,640.0,1,905,2,1.0,640.0,92 days 00:00:00.000000000
366,ce,t0013785,Rent Change,2013-04-30,C0011H,2011-10-21,2013-06-01,640.0,1,905,2,1.0,640.0,32 days 00:00:00.000000000
376,ce,t0013786,Rent Change,2013-04-30,C0011J,2012-01-01,,650.0,0,905,2,1.0,650.0,
377,ce,t0013786,Rent Change,2014-01-31,C0011J,2012-01-01,2015-01-31,680.0,1,905,2,1.0,30.0,365 days 00:00:00.000000000
383,ce,t0013787,Rent Change,2013-04-30,C0011K,2013-01-02,,650.0,0,905,2,1.0,650.0,
384,ce,t0013787,Rent Change,2014-01-31,C0011K,2013-01-02,,1362.0,0,905,2,1.0,712.0,
385,ce,t0013787,Rent Change,2014-02-28,C0011K,2013-01-02,,681.0,0,905,2,1.0,-681.0,
386,ce,t0013787,Rent Change,2016-01-31,C0011K,2013-01-02,,722.0,0,905,2,1.0,41.0,
387,ce,t0013787,Rent Change,2017-07-31,C0011K,2013-01-02,,769.0,0,905,2,1.0,47.0,
388,ce,t0013787,Rent Change,2018-08-31,C0011K,2013-01-02,,815.0,0,905,2,1.0,46.0,
391,ce,t0013788,Rent Change,2013-04-30,C0011L,2012-07-09,2013-07-31,650.0,1,905,2,1.0,650.0,92 days 00:00:00.000000000
