,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy,City,State,Zip_Code,SQFT,BedRooms,Bathroom
1,ce,t0013746,Move Out,2013-04-30,C05268,2009-10-25,2013-04-30,860.0,0.0,1283 days 00:00:00.000000000,1,Fairfield,OH,45014,1400,3,2.5
7,ce,t0023846,Move Out,2015-10-05,C5252A,2014-11-21,2015-09-30,641.0,0.0,313 days 00:00:00.000000000,1,Fairfield,OH,45014,905,1,1.0
13,ce,t0023846,Move In,2014-11-21,C5252A,2014-11-21,,641.0,0.0,,0,Fairfield,OH,45014,905,1,1.0
21,ce,t0026814,Move Out,2016-11-18,C5252A,2015-10-31,2016-11-16,679.0,0.0,382 days 00:00:00.000000000,1,Fairfield,OH,45014,905,1,1.0
30,ce,t0026814,Move Out,2016-10-31,C5252A,2015-10-31,2016-10-30,679.0,0.0,365 days 00:00:00.000000000,1,Fairfield,OH,45014,905,1,1.0
37,ce,t0026814,Move In,2015-10-31,C5252A,2015-10-31,,679.0,0.0,,0,Fairfield,OH,45014,905,1,1.0
53,ce,t0040774,Move In,2018-10-15,C5252A,2018-10-15,,819.0,0.0,,0,Fairfield,OH,45014,905,1,1.0
57,ce,t0013819,Move Out,2013-05-31,C5254F,2012-05-12,2013-05-31,650.0,0.0,384 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,2.0
61,ce,t0040238,Move In,2018-07-22,C5254F,2018-07-21,,790.0,0.0,,0,Fairfield,OH,45014,955,2,2.0
70,ce,t0013823,Move Out,2013-05-06,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,2.0
81,ce,t0040602,Move In,2018-10-02,C5254K,2018-10-02,,800.0,0.0,,0,Fairfield,OH,45014,955,2,2.0
83,ce,t0013838,Move Out,2013-04-30,C5271B,2012-11-05,2013-04-30,560.0,0.0,176 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
87,ce,t0014293,Move Out,2014-04-18,C5271B,2013-06-01,2014-04-17,560.0,0.0,320 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
95,ce,t0014293,Move In,2013-06-03,C5271B,2013-06-01,,560.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
99,ce,t0020194,Move Out,2015-03-17,C5271B,2014-05-17,2015-03-16,609.0,0.0,303 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
112,ce,t0020194,Move In,2014-05-19,C5271B,2014-05-17,,609.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
122,ce,t0025017,Move Out,2015-09-18,C5271B,2015-04-10,2015-09-18,609.0,0.0,161 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
134,ce,t0025017,Move In,2015-04-13,C5271B,2015-04-10,,609.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
137,ce,t0026706,Move Out,2016-01-15,C5271B,2015-10-19,2016-01-15,629.0,0.0,88 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
144,ce,t0026706,Move In,2015-10-19,C5271B,2015-10-19,,629.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
146,ce,t0027927,Move Out,2016-06-07,C5271B,2016-01-30,2016-06-06,629.0,0.0,128 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
152,ce,t0027927,Move In,2016-01-30,C5271B,2016-01-30,,629.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
159,ce,t0029828,Move Out,2017-06-30,C5271B,2016-07-01,2017-06-30,644.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
165,ce,t0029828,Move In,2016-07-01,C5271B,2016-07-01,,644.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
175,ce,t0033486,Move Out,2018-01-04,C5271B,2017-07-15,2018-01-02,657.0,0.0,171 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
183,ce,t0033486,Move In,2017-07-17,C5271B,2017-07-15,,657.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
199,ce,t0038266,Move In,2018-02-20,C5271B,2018-02-20,,657.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
204,ce,t0013866,Move Out,2013-05-17,C5303F,2012-08-24,2013-05-17,560.0,0.0,266 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
229,ce,t0013870,Move Out,2013-04-23,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
242,ce,t0041264,Move In,2018-12-28,C5303K,2018-12-28,,685.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
244,ce,t0013923,Move Out,2013-05-31,C5326D,2012-05-11,2013-05-31,565.0,0.0,385 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
252,ce,t0033391,Move Out,2018-08-07,C5326D,2017-07-14,2018-08-06,739.0,0.0,388 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
259,ce,t0033391,Move In,2017-07-17,C5326D,2017-07-14,,739.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
275,ce,t0040260,Move In,2018-09-14,C5326D,2018-09-14,,780.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
277,ce,t0013936,Move Out,2018-07-31,M0020C,2018-03-21,2018-07-31,933.0,0.0,132 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
281,ce,t0013936,Move In,2018-03-21,M0020C,2018-03-21,,933.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
284,ce,t0025839,Move Out,2016-11-07,M0020C,2015-11-01,2016-11-04,889.0,0.0,369 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
293,ce,t0025839,Move In,2015-11-01,M0020C,2015-11-01,,889.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
297,ce,t0031400,Move Out,2017-08-07,M0020C,2016-11-26,2017-08-05,983.0,0.0,252 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
304,ce,t0031400,Move In,2016-11-28,M0020C,2016-11-26,,983.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
311,ce,t0013945,Move Out,2013-04-18,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
318,ce,t0014237,Move Out,2013-08-14,S1452B,2013-05-13,2013-08-10,560.0,0.0,89 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
321,ce,t0014237,Move In,2013-05-14,S1452B,2013-05-13,,560.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
329,ce,t0013946,Move In,2018-03-26,M0020A,2018-03-26,,913.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
338,ce,t0030024,Move Out,2017-07-26,M0020A,2016-07-22,2017-07-21,949.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
345,ce,t0030024,Move In,2016-07-22,M0020A,2016-07-22,,949.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
369,ce,t0013951,Move Out,2013-04-30,S1452H,2005-08-13,2013-04-30,565.0,0.0,2817 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
373,ce,t0014239,Move Out,2014-03-17,S1452H,2013-05-10,2014-03-17,570.0,0.0,311 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
378,ce,t0014239,Move In,2013-05-14,S1452H,2013-05-10,,570.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
383,ce,t0019821,Move Out,2015-05-01,S1452H,2014-05-01,2015-05-01,619.0,0.0,365 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
389,ce,t0019821,Move In,2014-05-02,S1452H,2014-05-01,,619.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
394,ce,t0024861,Move Out,2016-04-06,S1452H,2015-06-01,2016-03-31,619.0,0.0,304 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
400,ce,t0024861,Move In,2015-06-01,S1452H,2015-06-01,,619.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
418,ce,t0029501,Move Out,2017-05-30,S1452H,2016-05-28,2017-05-27,644.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
422,ce,t0029501,Move In,2016-05-28,S1452H,2016-05-28,,644.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
438,ce,t0039405,Move Out,2018-04-02,S1452H,2017-06-20,2018-03-19,667.0,0.0,272 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
446,ce,t0039405,Move In,2017-06-22,S1452H,2017-06-20,,667.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
450,ce,t0013955,Move Out,2013-04-30,S1454A,2012-04-17,2013-04-30,555.0,0.0,378 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
477,ce,t0040325,Move Out,2018-11-15,S1454A,2018-07-18,2018-11-15,675.0,0.0,120 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
486,ce,t0040325,Move In,2018-07-18,S1454A,2018-07-18,,675.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
489,ce,t0013960,Move Out,2013-05-06,S1454F,2011-07-16,2013-04-30,570.0,0.0,654 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
501,ce,t0029846,Move Out,2017-04-28,S1454F,2016-07-01,2017-04-17,654.0,0.0,290 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
507,ce,t0029846,Move In,2016-07-01,S1454F,2016-07-01,,654.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
509,ce,t0013970,Move Out,2013-04-23,S1456D,2011-12-10,2013-04-23,560.0,0.0,500 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
528,ce,t0032785,Move Out,2018-04-21,S1456D,2017-04-22,2018-04-21,729.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
535,ce,t0032785,Move In,2017-04-24,S1456D,2017-04-22,,729.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
538,ce,t0013981,Move Out,2013-05-20,S1458C,2009-03-03,2013-05-18,555.0,0.0,1537 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
556,ce,t0024762,Move Out,2015-06-24,S1458C,2015-03-05,2015-06-23,609.0,0.0,110 days 00:00:00.000000000,1,Fairfield,OH,45014,675,1,1.0
564,ce,t0024762,Move In,2015-03-05,S1458C,2015-03-05,,609.0,0.0,,0,Fairfield,OH,45014,675,1,1.0
574,ce,t0014018,Move Out,2013-04-30,S1500-3D,2012-08-11,2013-04-30,675.0,0.0,262 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,2.0
590,ce,t0025418,Move Out,2016-08-13,S1500-3D,2015-08-14,2016-08-13,726.0,0.0,365 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,2.0
594,ce,t0025418,Move In,2015-08-17,S1500-3D,2015-08-14,,726.0,0.0,,0,Fairfield,OH,45014,955,2,2.0
607,ce,t0040698,Move In,2018-09-24,S1500-3D,2018-09-24,,830.0,0.0,,0,Fairfield,OH,45014,955,2,2.0
611,ce,t0014050,Move Out,2013-05-06,S1500-5M,2012-04-27,2013-04-30,680.0,0.0,368 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,1.5
616,ce,t0014240,Move Out,2014-06-02,S1500-5M,2013-05-10,2014-05-31,680.0,0.0,386 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,1.5
620,ce,t0014240,Move In,2013-05-14,S1500-5M,2013-05-10,,680.0,0.0,,0,Fairfield,OH,45014,955,2,1.5
627,ce,t0021390,Move Out,2015-06-30,S1500-5M,2014-06-14,2015-06-30,710.0,0.0,381 days 00:00:00.000000000,1,Fairfield,OH,45014,955,2,1.5
632,ce,t0021390,Move In,2014-06-16,S1500-5M,2014-06-14,,710.0,0.0,,0,Fairfield,OH,45014,955,2,1.5
666,ce,t0014073,Move Out,2013-07-24,M0001D,2013-01-22,2013-07-24,635.0,0.0,183 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
674,ce,t0015665,Move Out,2014-01-21,M0001D,2013-08-10,2014-01-20,665.0,0.0,163 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
685,ce,t0015665,Move In,2013-08-12,M0001D,2013-08-10,,665.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
695,ce,t0021260,Move Out,2015-05-31,M0001D,2014-05-09,2015-05-31,740.0,0.0,387 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
699,ce,t0021260,Move In,2014-05-12,M0001D,2014-05-09,,740.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
707,ce,t0033389,Move Out,2018-06-30,M0001D,2017-06-22,2018-06-30,813.0,0.0,373 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
715,ce,t0033389,Move In,2017-06-22,M0001D,2017-06-22,,813.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
730,ce,t0014085,Move Out,2013-09-03,M0003E,2012-08-21,2013-08-31,645.0,0.0,375 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
737,ce,t0031956,Move In,2017-02-07,M0003E,2017-01-01,,908.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
751,ce,t0014086,Move Out,2013-12-05,M0003F,2012-11-12,2013-11-30,655.0,0.0,383 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
756,ce,t0014087,Move Out,2013-04-30,M0004A,2012-09-08,2013-04-30,625.0,0.0,234 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
768,ce,t0023622,Move Out,2015-12-30,M0004A,2014-12-27,2015-12-29,655.0,0.0,367 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
781,ce,t0023622,Move In,2014-12-29,M0004A,2014-12-27,,655.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
792,ce,t0038204,Move In,2018-03-01,M0004A,2018-03-01,,728.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
796,ce,t0014092,Move Out,2013-11-01,M0004F,2004-09-03,2013-10-31,645.0,0.0,3345 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
807,ce,t0014096,Move Out,2014-01-31,M0005E,2013-01-05,2014-01-31,565.0,0.0,391 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
826,ce,t0014100,Move Out,2013-09-04,M0006C,2012-08-17,2013-08-31,635.0,0.0,379 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
833,ce,t0015820,Move Out,2015-01-05,M0006C,2013-09-20,2015-01-05,710.0,0.0,472 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
840,ce,t0015820,Move In,2013-09-20,M0006C,2013-09-20,,710.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
843,ce,t0023854,Move Out,2016-01-31,M0006C,2015-01-19,2016-01-31,665.0,0.0,377 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
849,ce,t0023854,Move In,2015-01-19,M0006C,2015-01-19,,665.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
852,ce,t0031869,Move In,2018-02-23,M0006C,2018-02-23,,738.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
858,ce,t0014105,Move Out,2013-11-18,M0007B,2006-09-01,2013-11-15,535.0,0.0,2632 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
867,ce,t0024680,Move Out,2016-04-06,M0007B,2015-03-14,2016-03-31,583.0,0.0,383 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
873,ce,t0024680,Move In,2015-03-14,M0007B,2015-03-14,,583.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
877,ce,t0014106,Move Out,2013-12-26,M0007C,2012-10-12,2013-12-21,545.0,0.0,435 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
886,ce,t0024582,Move Out,2016-01-04,M0007C,2015-02-13,2016-01-04,593.0,0.0,325 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
892,ce,t0024582,Move In,2015-02-16,M0007C,2015-02-13,,593.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
897,ce,t0014107,Move Out,2013-07-22,M0007D,2012-03-01,2013-07-19,545.0,0.0,505 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
900,ce,t0014584,Move Out,2013-12-26,M0007D,2013-07-27,2013-12-22,574.0,0.0,148 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
908,ce,t0014584,Move In,2013-07-29,M0007D,2013-07-27,,574.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
911,ce,t0018115,Move Out,2015-01-07,M0007D,2014-01-11,2015-01-06,594.0,0.0,360 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
917,ce,t0018115,Move In,2014-01-13,M0007D,2014-01-11,,594.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
920,ce,t0014110,Move Out,2013-10-07,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
935,ce,t0014113,Move Out,2013-09-30,M0008D,2012-09-07,2013-09-30,635.0,0.0,388 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
939,ce,t0014115,Move Out,2013-07-01,M0008F,2012-06-27,2013-06-30,645.0,0.0,368 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
949,ce,t0015653,Move Out,2014-08-26,M0008F,2013-08-08,2014-08-26,690.0,0.0,383 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
956,ce,t0015653,Move In,2013-08-09,M0008F,2013-08-08,,690.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
966,ce,t0014117,Move Out,2013-07-02,M0009B,2011-07-01,2013-06-30,535.0,0.0,730 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
972,ce,t0014525,Move Out,2014-07-31,M0009B,2013-07-20,2014-07-31,535.0,0.0,376 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
979,ce,t0014525,Move In,2013-07-22,M0009B,2013-07-20,,535.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
986,ce,t0014118,Move Out,2013-06-03,M0009C,2012-06-01,2013-05-31,545.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
990,ce,t0028824,Move Out,2017-04-24,M0009C,2016-04-22,2017-04-21,609.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
996,ce,t0028824,Move In,2016-04-23,M0009C,2016-04-22,,609.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1010,ce,t0039851,Move In,2018-06-09,M0009C,2018-06-09,,770.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1019,ce,t0014131,Move Out,2014-02-03,M0011E,2013-01-30,2014-01-31,565.0,0.0,366 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1023,ce,t0014132,Move Out,2013-09-30,M0011F,2012-09-20,2013-09-30,555.0,0.0,375 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1027,ce,t0027870,Move Out,2017-08-31,M0011F,2016-02-25,2017-08-31,619.0,0.0,553 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1034,ce,t0027870,Move In,2016-02-26,M0011F,2016-02-25,,619.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1045,ce,t0014133,Move Out,2014-01-31,M0012A,2009-09-02,2014-01-31,625.0,0.0,1612 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1049,ce,t0019230,Move Out,2015-03-01,M0012A,2014-02-27,2015-02-28,655.0,0.0,366 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1053,ce,t0019230,Move In,2014-02-27,M0012A,2014-02-27,,655.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1066,ce,t0032758,Move Out,2017-10-10,M0012A,2017-05-01,2017-10-09,728.0,0.0,161 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1074,ce,t0032758,Move In,2017-05-09,M0012A,2017-05-01,,728.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1076,ce,t0014134,Move Out,2014-02-03,M0012B,2012-01-21,2014-01-31,625.0,0.0,741 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1082,ce,t0019229,Move Out,2015-02-02,M0012B,2014-02-25,2015-01-31,655.0,0.0,340 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1093,ce,t0019229,Move In,2014-02-25,M0012B,2014-02-25,,655.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1102,ce,t0024549,Move Out,2015-06-30,M0012B,2015-02-20,2015-06-30,655.0,0.0,130 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1107,ce,t0024549,Move In,2015-02-20,M0012B,2015-02-20,,655.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1116,ce,t0025841,Move Out,2016-07-19,M0012B,2015-08-01,2016-06-30,859.0,0.0,334 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1122,ce,t0025841,Move In,2015-08-03,M0012B,2015-08-01,,859.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1142,ce,t0037856,Move Out,2018-11-30,M0012B,2017-12-01,2018-11-30,838.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1149,ce,t0037856,Move In,2017-12-01,M0012B,2017-12-01,,838.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1156,ce,t0014136,Move Out,2013-05-06,M0012D,2012-04-21,2013-05-01,645.0,0.0,375 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1161,ce,t0014243,Move Out,2014-06-02,M0012D,2013-05-22,2014-05-31,645.0,0.0,374 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1166,ce,t0014243,Move In,2013-05-23,M0012D,2013-05-22,,645.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1170,ce,t0026033,Move Out,2017-01-02,M0012D,2015-10-31,2016-12-31,719.0,0.0,427 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1179,ce,t0026033,Move In,2015-10-31,M0012D,2015-10-31,,719.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1193,ce,t0031952,Move In,2017-02-07,M0012D,2017-01-01,,748.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1199,ce,t0014140,Move Out,2013-07-01,M0013B,2012-05-15,2013-06-30,535.0,0.0,411 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1204,ce,t0025972,Move Out,2016-09-23,M0013B,2015-11-14,2016-09-21,599.0,0.0,312 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1210,ce,t0025972,Move In,2015-11-16,M0013B,2015-11-14,,599.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1213,ce,t0014144,Move Out,2013-04-30,M0013F,2012-04-27,2013-04-30,550.0,0.0,368 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1217,ce,t0014328,Move Out,2014-06-02,M0013F,2013-05-17,2014-06-02,555.0,0.0,381 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1222,ce,t0014328,Move In,2013-05-20,M0013F,2013-05-17,,555.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1244,ce,t0030971,Move Out,2017-12-04,M0013F,2016-12-03,2017-12-02,646.0,0.0,364 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1251,ce,t0030971,Move In,2016-12-06,M0013F,2016-12-03,,646.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1258,ce,t0037956,Move Out,2019-01-09,M0013F,2018-01-09,2019-01-09,646.0,0.0,365 days 00:00:00.000000000,1,Fairfield,OH,45014,635,1,1.0
1260,ce,t0037956,Move In,2018-01-09,M0013F,2018-01-09,,646.0,0.0,,0,Fairfield,OH,45014,635,1,1.0
1278,ce,t0014146,Move Out,2013-06-03,M0014B,2011-07-15,2013-05-31,625.0,0.0,686 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1282,ce,t0027879,Move Out,2017-02-28,M0014B,2016-02-12,2017-02-28,699.0,0.0,382 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1288,ce,t0027879,Move In,2016-02-12,M0014B,2016-02-12,,699.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1296,ce,t0032540,Move Out,2018-03-08,M0014B,2017-03-24,2018-02-28,728.0,0.0,341 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1304,ce,t0032540,Move In,2017-03-27,M0014B,2017-03-24,,728.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1307,ce,t0040696,Move Out,2018-12-12,M0014B,2018-03-15,2018-12-12,728.0,0.0,272 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1315,ce,t0040696,Move In,2018-03-15,M0014B,2018-03-15,,728.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1325,ce,t0014153,Move Out,2013-07-02,M0015C,2012-09-28,2013-06-30,635.0,0.0,275 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1339,ce,t0014158,Move Out,2013-08-01,M0016B,2012-07-28,2013-07-31,625.0,0.0,368 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1369,ce,t0014159,Move Out,2014-02-03,M0016C,2013-01-11,2014-01-31,635.0,0.0,385 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1394,ce,t0014166,Move Out,2013-04-30,M0018D,2012-04-18,2013-04-30,635.0,0.0,377 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1398,ce,t0022992,Move Out,2015-09-30,M0018D,2014-09-13,2015-09-30,665.0,0.0,382 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1404,ce,t0022992,Move In,2014-09-15,M0018D,2014-09-13,,665.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1413,ce,t0037973,Move Out,2018-12-28,M0018D,2017-12-28,2018-12-28,848.0,0.0,365 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1419,ce,t0037973,Move In,2017-12-28,M0018D,2017-12-28,,848.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1425,ce,t0014173,Move Out,2013-04-30,M0020E,2010-04-19,2013-04-30,655.0,0.0,1107 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1429,ce,t0014284,Move Out,2014-06-02,M0020E,2013-05-31,2014-05-31,655.0,0.0,365 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1433,ce,t0014284,Move In,2013-05-31,M0020E,2013-05-31,,655.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1439,ce,t0014184,Move Out,2013-12-01,M0024D,2012-11-09,2013-11-30,635.0,0.0,386 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1448,ce,t0038189,Move In,2018-02-26,M0024D,2018-02-24,,738.0,0.0,,0,Fairfield,OH,45014,875,2,1.5
1452,ce,t0014185,Move Out,2013-12-01,M0024E,2013-01-25,2013-11-30,655.0,0.0,309 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
1459,ce,t0014186,Move Out,2013-11-05,M0024F,2011-09-01,2013-11-05,645.0,0.0,796 days 00:00:00.000000000,1,Fairfield,OH,45014,875,2,1.5
