,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
2,ce,t0013745,Rent Change,4/30/2013,C05266,11/9/2006,,870,0,1400,3,2.5,870,
3,ce,t0013745,Rent Change,5/31/2014,C05266,11/9/2006,1/31/2015,896,1,1400,3,2.5,26,245 days 00:00:00.000000000
8,ce,t0013747,Rent Change,4/30/2013,C05270,7/16/2012,8/11/2013,770,1,1088,2,1.5,770,103 days 00:00:00.000000000
18,ce,t0013748,Rent Change,4/30/2013,C05272,9/28/2012,,770,0,1088,2,1.5,770,
19,ce,t0013748,Rent Change,9/30/2013,C05272,9/28/2012,,800,0,1088,2,1.5,30,
20,ce,t0013748,Rent Change,11/1/2014,C05272,9/28/2012,10/31/2015,824,1,1088,2,1.5,24,364 days 00:00:00.000000000
27,ce,t0013749,Rent Change,4/30/2013,C05274,11/26/2008,,880,0,1400,3,2.5,880,
28,ce,t0013749,Rent Change,10/31/2013,C05274,11/26/2008,,1795,0,1400,3,2.5,915,
29,ce,t0013749,Rent Change,12/1/2013,C05274,11/26/2008,,880,0,1400,3,2.5,-915,
30,ce,t0013749,Rent Change,12/31/2013,C05274,11/26/2008,,915,0,1400,3,2.5,35,
31,ce,t0013749,Rent Change,3/1/2015,C05274,11/26/2008,,924,0,1400,3,2.5,9,
32,ce,t0013749,Rent Change,2/29/2016,C05274,11/26/2008,,970,0,1400,3,2.5,46,
33,ce,t0013749,Rent Change,2/28/2018,C05274,11/26/2008,,1044,0,1400,3,2.5,74,
36,ce,t0013750,Rent Change,4/30/2013,C05276,7/21/2001,,880,0,1400,3,2.5,880,
37,ce,t0013750,Rent Change,6/30/2013,C05276,7/21/2001,,890,0,1400,3,2.5,10,
38,ce,t0013750,Rent Change,6/30/2014,C05276,7/21/2001,,917,0,1400,3,2.5,27,
39,ce,t0013750,Rent Change,6/30/2015,C05276,7/21/2001,,945,0,1400,3,2.5,28,
40,ce,t0013750,Rent Change,6/30/2016,C05276,7/21/2001,6/30/2017,999,1,1400,3,2.5,54,365 days 00:00:00.000000000
45,ce,t0013751,Rent Change,4/30/2013,C05278,9/16/2011,,780,0,1088,2,1.5,780,
46,ce,t0013751,Rent Change,9/30/2013,C05278,9/16/2011,,803,0,1088,2,1.5,23,
47,ce,t0013751,Rent Change,1/31/2014,C05278,9/16/2011,,1606,0,1088,2,1.5,803,
48,ce,t0013751,Rent Change,2/28/2014,C05278,9/16/2011,,803,0,1088,2,1.5,-803,
49,ce,t0013751,Rent Change,1/1/2015,C05278,9/16/2011,,810,0,1088,2,1.5,7,
50,ce,t0013751,Rent Change,6/30/2015,C05278,9/16/2011,10/18/2015,834,1,1088,2,1.5,24,110 days 00:00:00.000000000
56,ce,t0013752,Rent Change,4/30/2013,C05280,4/23/2010,,780,0,1088,2,1.5,780,
57,ce,t0013752,Rent Change,5/31/2014,C05280,4/23/2010,,803,0,1088,2,1.5,23,
58,ce,t0013752,Rent Change,5/31/2015,C05280,4/23/2010,,827,0,1088,2,1.5,24,
59,ce,t0013752,Rent Change,5/31/2016,C05280,4/23/2010,5/31/2017,859,1,1088,2,1.5,32,365 days 00:00:00.000000000
65,ce,t0013753,Rent Change,4/30/2013,C05282,7/14/2012,7/31/2013,880,1,1400,3,2.5,880,92 days 00:00:00.000000000
70,ce,t0013754,Rent Change,4/30/2013,C05284,11/26/1986,1/29/2014,880,1,1400,3,2.5,880,274 days 00:00:00.000000000
75,ce,t0013755,Rent Change,4/30/2013,C0003A,7/29/2010,,630,0,905,2,1,630,
76,ce,t0013755,Rent Change,6/30/2013,C0003A,7/29/2010,7/31/2013,640,1,905,2,1,10,31 days 00:00:00.000000000
83,ce,t0013756,Rent Change,4/30/2013,C0003B,9/1/2008,,630,0,905,2,1,630,
84,ce,t0013756,Rent Change,9/1/2013,C0003B,9/1/2008,,660,0,905,2,1,30,
85,ce,t0013756,Rent Change,9/30/2014,C0003B,9/1/2008,8/15/2015,680,1,905,2,1,20,319 days 00:00:00.000000000
94,ce,t0013757,Rent Change,4/30/2013,C0003C,8/3/2012,,640,0,905,2,1,640,
95,ce,t0013757,Rent Change,9/1/2013,C0003C,8/3/2012,8/31/2014,670,1,905,2,1,30,364 days 00:00:00.000000000
104,ce,t0013758,Rent Change,4/30/2013,C0003D,10/1/2003,8/31/2013,640,1,905,2,1,640,123 days 00:00:00.000000000
116,ce,t0013759,Rent Change,4/30/2013,C0003E,6/26/2008,,640,0,905,2,1,640,
117,ce,t0013759,Rent Change,6/30/2013,C0003E,6/26/2008,6/1/2014,650,1,905,2,1,10,336 days 00:00:00.000000000
125,ce,t0013760,Rent Change,4/30/2013,C0003F,9/19/2003,,640,0,905,2,1,640,
126,ce,t0013760,Rent Change,12/1/2013,C0003F,9/19/2003,8/25/2014,665,1,905,2,1,25,267 days 00:00:00.000000000
137,ce,t0013761,Rent Change,4/30/2013,C0003G,10/13/2012,10/31/2013,640,1,905,2,1,640,184 days 00:00:00.000000000
145,ce,t0013762,Rent Change,4/30/2013,C0003H,12/2/2009,,640,0,905,2,1,640,
146,ce,t0013762,Rent Change,5/31/2014,C0003H,12/2/2009,,659,0,905,2,1,19,
147,ce,t0013762,Rent Change,5/31/2015,C0003H,12/2/2009,4/21/2016,679,1,905,2,1,20,326 days 00:00:00.000000000
152,ce,t0013763,Rent Change,4/30/2013,C0003J,11/11/2011,11/30/2013,650,1,905,2,1,650,214 days 00:00:00.000000000
164,ce,t0013764,Rent Change,4/30/2013,C0003K,8/19/2011,,650,0,905,2,1,650,
