,Property_Code_x,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,DateLeaseFrom,DateLeaseTo,Deposit,Sqft,Notes_x,Reason,Length of Stay,Rental_Type,City,State,Zip_Code,Rent_y,SQFT,BedRooms,Attributes_1,Notes_y
0,mpg,t0034325,Notice Given,2019-01-09,2024-02A,2017-04-01,2019-03-31,2018-04-01,2019-03-31,0.0,0.0,Moved Out Of State,Moved Out Of State,729 days 00:00:00.000000000,Residential,Mt. Prospect,IL,60056,1699,1240,2,2.0,
1,mpg,t0034325,Notice Given,2018-01-29,2024-02A,2017-04-01,2018-03-31,2017-04-01,2018-03-31,0.0,0.0,Job Transfer,,364 days 00:00:00.000000000,Residential,Mt. Prospect,IL,60056,1699,1240,2,2.0,
2,mpg,t0034505,Deposit Accounting,2017-09-27,2024-02A,2015-12-07,2017-03-01,2015-12-07,2017-03-31,0.0,0.0,Deposit Accounting,,450 days 00:00:00.000000000,Residential,Mt. Prospect,IL,60056,1699,1240,2,2.0,
3,sh,t0030792,Notice Given,2019-01-09,TT1177,2016-09-30,2019-02-28,2018-10-01,2019-09-30,99.0,0.0,Job Transfer,Job Transfer,881 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
4,sh,t0030791,Adjust Moveout Dates,2016-09-06,TT1177,2016-06-30,2016-09-20,2016-06-30,2017-07-28,99.0,0.0,Posted by Unit Transfer,Cannot Afford Apartment,82 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
5,sh,t0030791,Transfer Unit (To TT1185 from TT1177),2016-09-06,TT1177,2016-06-30,2016-09-20,2016-06-30,2017-07-28,99.0,0.0,,Cannot Afford Apartment,82 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
6,sh,t0030791,Adjust Moveout Dates,2016-09-20,TT1177,2016-06-30,2016-09-28,2016-06-30,2017-07-28,99.0,0.0,Cannot Afford Apartment,,90 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
7,sh,t0030791,Adjust Moveout Dates,2016-09-20,TT1177,2016-06-30,2016-09-28,2016-06-30,2017-07-28,99.0,0.0,Transfer within Community,,90 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
8,sh,t0030791,Move Out,2016-09-28,TT1177,2016-06-30,2016-09-28,2016-06-30,2017-07-28,99.0,0.0,Move Out,,90 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
9,sh,t0030791,Deposit Change,2016-10-09,TT1177,2016-06-30,2016-09-28,2016-06-30,2017-07-28,0.0,0.0,,,90 days 00:00:00.000000000,Residential,Toledo,OH,43615,1175,1350,2,1.5,
