,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy
0,ce,t0013745,Notice Given,2015-01-05,C05266,2006-11-09,2015-02-28,896.0,0.0,3033 days 00:00:00.000000000,0
3,ce,t0013745,Move Out,2015-02-02,C05266,2006-11-09,2015-01-31,896.0,0.0,3005 days 00:00:00.000000000,1
6,ce,t0013745,Deposit Change,2015-02-05,C05266,2006-11-09,2015-01-31,896.0,0.0,3005 days 00:00:00.000000000,0
9,ce,t0013745,Deposit Accounting,2015-02-05,C05266,2006-11-09,2015-01-31,896.0,0.0,3005 days 00:00:00.000000000,0
12,ce,t0013745,Adjust Deposit Accounting,2015-02-05,C05266,2006-11-09,2015-01-31,896.0,0.0,3005 days 00:00:00.000000000,0
15,ce,t0013745,Adjust Deposit Accounting,2015-02-10,C05266,2006-11-09,2015-01-31,896.0,0.0,3005 days 00:00:00.000000000,0
18,ce,t0013745,Deposit Change,2013-04-17,C05266,2006-11-09,,870.0,0.0,,0
27,ce,t0013745,Month to Month,2013-04-18,C05266,2006-11-09,,870.0,0.0,,0
30,ce,t0013745,Rent Change,2013-04-26,C05266,2006-11-09,,0.0,0.0,,0
33,ce,t0013745,Rent Change,2013-04-30,C05266,2006-11-09,,870.0,0.0,,0
36,ce,t0013745,120 Day Letter Sent,2014-02-21,C05266,2006-11-09,,870.0,0.0,,0
39,ce,t0013745,Rent Change,2014-05-31,C05266,2006-11-09,,896.0,0.0,,0
42,ce,t0013747,Notice Given,2013-07-30,C05270,2012-07-16,2013-08-11,770.0,0.0,391 days 00:00:00.000000000,0
44,ce,t0013747,Move Out,2013-08-12,C05270,2012-07-16,2013-08-11,770.0,0.0,391 days 00:00:00.000000000,1
46,ce,t0013747,Deposit Change,2013-08-15,C05270,2012-07-16,2013-08-11,770.0,0.0,391 days 00:00:00.000000000,0
48,ce,t0013747,Deposit Accounting,2013-08-15,C05270,2012-07-16,2013-08-11,770.0,0.0,391 days 00:00:00.000000000,0
50,ce,t0013747,Deposit Change,2013-04-17,C05270,2012-07-16,,770.0,0.0,,0
56,ce,t0013747,Rent Change,2013-04-26,C05270,2012-07-16,,0.0,0.0,,0
58,ce,t0013747,Rent Change,2013-04-30,C05270,2012-07-16,,770.0,0.0,,0
60,ce,t0013748,Notice Given,2015-08-03,C05272,2012-09-28,2015-10-31,824.0,0.0,1128 days 00:00:00.000000000,0
64,ce,t0013748,Move Out,2015-10-31,C05272,2012-09-28,2015-10-31,824.0,0.0,1128 days 00:00:00.000000000,1
68,ce,t0013748,Deposit Change,2015-11-13,C05272,2012-09-28,2015-10-31,824.0,0.0,1128 days 00:00:00.000000000,0
72,ce,t0013748,Deposit Accounting,2015-11-13,C05272,2012-09-28,2015-10-31,824.0,0.0,1128 days 00:00:00.000000000,0
