ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"ce","C5271J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5273J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5273K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5273L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5273M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5322L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5322M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5324L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5324M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5326L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5326M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1454J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1454L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1456J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1456K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1456L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1456M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1458J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1458L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1A","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1E","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-2J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3A","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3E","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4A","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4B","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4E","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6A","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6B","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6E","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6J","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4F","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6F","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250L","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254M","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1B","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1F","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-2K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3B","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3F","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3K","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05278","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05280","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-7C","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-7D","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05274","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05276","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05282","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C05284","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-7E","fireplace","Fireplace","Fireplace",,,10.00,04/17/2013,10.00,03/31/2017,,,
