,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy
14,ce,t0013746,Notice Given,2013-04-17,C05268,2009-10-25,2013-04-30,860.0,0.0,1283 days 00:00:00.000000000,0
15,ce,t0013746,Move Out,2013-04-30,C05268,2009-10-25,2013-04-30,860.0,0.0,1283 days 00:00:00.000000000,1
16,ce,t0013746,Deposit Change,2013-05-08,C05268,2009-10-25,2013-04-30,860.0,0.0,1283 days 00:00:00.000000000,0
17,ce,t0013746,Deposit Accounting,2013-05-08,C05268,2009-10-25,2013-04-30,860.0,0.0,1283 days 00:00:00.000000000,0
737,ce,t0013801,Transfer Unit (From C5250M to C5252A),2018-08-29,C5252A,2018-09-14,,819.0,0.0,,0
738,ce,t0013801,Cancel Move In,2018-09-15,C5252A,,,819.0,0.0,,0
973,ce,t0013819,Notice Given,2013-04-17,C5254F,2012-05-12,2013-05-31,650.0,0.0,384 days 00:00:00.000000000,0
974,ce,t0013819,Move Out,2013-05-31,C5254F,2012-05-12,2013-05-31,650.0,0.0,384 days 00:00:00.000000000,1
975,ce,t0013819,Deposit Change,2013-06-10,C5254F,2012-05-12,2013-05-31,650.0,0.0,384 days 00:00:00.000000000,0
976,ce,t0013819,Deposit Accounting,2013-06-10,C5254F,2012-05-12,2013-05-31,650.0,0.0,384 days 00:00:00.000000000,0
1026,ce,t0013823,Adjust Moveout Dates,2013-04-30,C5254K,2012-04-15,2013-05-01,660.0,0.0,381 days 00:00:00.000000000,0
1027,ce,t0013823,Notice Given,2013-04-17,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,0
1028,ce,t0013823,Adjust Moveout Dates,2013-05-01,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,0
1029,ce,t0013823,Move Out,2013-05-06,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,1
1030,ce,t0013823,Deposit Change,2013-05-08,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,0
1031,ce,t0013823,Deposit Accounting,2013-05-08,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,0
1032,ce,t0013823,Adjust Deposit Accounting,2013-05-08,C5254K,2012-04-15,2013-04-30,660.0,0.0,380 days 00:00:00.000000000,0
1209,ce,t0013838,Notice Given,2013-04-17,C5271B,2012-11-05,2013-04-30,560.0,0.0,176 days 00:00:00.000000000,0
1210,ce,t0013838,Move Out,2013-04-30,C5271B,2012-11-05,2013-04-30,560.0,0.0,176 days 00:00:00.000000000,1
1211,ce,t0013838,Deposit Change,2013-05-08,C5271B,2012-11-05,2013-04-30,560.0,0.0,176 days 00:00:00.000000000,0
1212,ce,t0013838,Deposit Accounting,2013-05-08,C5271B,2012-11-05,2013-04-30,560.0,0.0,176 days 00:00:00.000000000,0
1584,ce,t0013866,Adjust Moveout Dates,2013-05-14,C5303F,2012-08-24,2013-05-20,560.0,0.0,269 days 00:00:00.000000000,0
1585,ce,t0013866,Adjust Moveout Dates,2013-05-17,C5303F,2012-08-24,2013-05-17,560.0,0.0,266 days 00:00:00.000000000,0
1586,ce,t0013866,Move Out,2013-05-17,C5303F,2012-08-24,2013-05-17,560.0,0.0,266 days 00:00:00.000000000,1
1587,ce,t0013866,Deposit Change,2013-05-30,C5303F,2012-08-24,2013-05-17,560.0,0.0,266 days 00:00:00.000000000,0
1588,ce,t0013866,Deposit Accounting,2013-05-30,C5303F,2012-08-24,2013-05-17,560.0,0.0,266 days 00:00:00.000000000,0
1589,ce,t0013866,Adjust Deposit Accounting,2013-05-30,C5303F,2012-08-24,2013-05-17,560.0,0.0,266 days 00:00:00.000000000,0
1590,ce,t0013866,Adjust Moveout Dates,2013-05-09,C5303F,2012-08-24,2013-05-10,560.0,0.0,259 days 00:00:00.000000000,0
1591,ce,t0013866,Adjust Moveout Dates,2013-05-07,C5303F,2012-08-24,2013-05-08,560.0,0.0,257 days 00:00:00.000000000,0
1592,ce,t0013866,Adjust Moveout Dates,2013-05-06,C5303F,2012-08-24,2013-05-06,560.0,0.0,255 days 00:00:00.000000000,0
1593,ce,t0013866,Adjust Moveout Dates,2013-04-30,C5303F,2012-08-24,2013-05-01,560.0,0.0,250 days 00:00:00.000000000,0
1594,ce,t0013866,Notice Given,2013-04-17,C5303F,2012-08-24,2013-04-30,560.0,0.0,249 days 00:00:00.000000000,0
1636,ce,t0013870,Notice Given,2013-04-17,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,0
1637,ce,t0013870,Move Out,2013-04-23,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,1
1638,ce,t0013870,Deposit Change,2013-04-25,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,0
1639,ce,t0013870,Deposit Accounting,2013-04-25,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,0
1640,ce,t0013870,Adjust Deposit Accounting,2013-04-25,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,0
1641,ce,t0013870,Adjust Deposit Accounting,2013-04-29,C5303K,2012-08-18,2013-04-21,570.0,0.0,246 days 00:00:00.000000000,0
2400,ce,t0013923,Notice Given,2013-04-17,C5326D,2012-05-11,2013-05-31,565.0,0.0,385 days 00:00:00.000000000,0
2401,ce,t0013923,Move Out,2013-05-31,C5326D,2012-05-11,2013-05-31,565.0,0.0,385 days 00:00:00.000000000,1
2402,ce,t0013923,Deposit Change,2013-06-10,C5326D,2012-05-11,2013-05-31,565.0,0.0,385 days 00:00:00.000000000,0
2403,ce,t0013923,Deposit Accounting,2013-06-10,C5326D,2012-05-11,2013-05-31,565.0,0.0,385 days 00:00:00.000000000,0
2556,ce,t0013936,Notice Given,2018-06-30,M0020C,2018-03-21,2018-07-31,933.0,0.0,132 days 00:00:00.000000000,0
2557,ce,t0013936,Move Out,2018-07-31,M0020C,2018-03-21,2018-07-31,933.0,0.0,132 days 00:00:00.000000000,1
2558,ce,t0013936,Deposit Change,2018-08-21,M0020C,2018-03-21,2018-07-31,933.0,0.0,132 days 00:00:00.000000000,0
2559,ce,t0013936,Deposit Accounting,2018-08-21,M0020C,2018-03-21,2018-07-31,933.0,0.0,132 days 00:00:00.000000000,0
2562,ce,t0013936,Transfer Unit (From S1450E to M0020C),2018-03-21,M0020C,2018-03-21,,933.0,0.0,,0
2563,ce,t0013936,Move In,2018-03-21,M0020C,2018-03-21,,933.0,0.0,,0
2678,ce,t0013945,Notice Given,2013-04-18,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2679,ce,t0013945,Move Out,2013-04-18,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,1
2680,ce,t0013945,Deposit Change,2013-04-25,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2681,ce,t0013945,Deposit Accounting,2013-04-25,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2682,ce,t0013945,Adjust Deposit Accounting,2013-04-25,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2683,ce,t0013945,Adjust Deposit Accounting,2013-06-17,S1452B,2011-08-04,2013-04-17,555.0,0.0,622 days 00:00:00.000000000,0
2687,ce,t0013945,Month to Month,2013-04-18,S1452B,2011-08-04,,555.0,0.0,,0
