CommUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
ce,,,C0007A,Residential,us,,,,,,12/25/2018,7 Camelot Drive A,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007B,Residential,us,,,,,,8/31/2015,7 Camelot Drive B,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007C,Residential,us,,,,,,6/12/2018,7 Camelot Drive C,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007D,Residential,us,,,,,,1/23/2017,7 Camelot Drive D,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007E,Residential,us,,,,,,9/3/2018,7 Camelot Drive E,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007F,Residential,us,,,,,,2/2/2018,7 Camelot Drive F,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007G,Residential,us,,,,,,10/10/2016,7 Camelot Drive G,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007H,Residential,us,,,,,,9/9/2017,7 Camelot Drive H,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007J,Residential,us,,,,,2/3/2019,2/3/2019,7 Camelot Drive J,,,,Fairfield,OH,45014,790,675,0,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C0007K,Residential,us,,,,,,5/17/2018,7 Camelot Drive K,,,,Fairfield,OH,45014,720,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
