,Property_Code,Unit_Code,City,State,Rent,SQFT,Rent_Ready,Bedrooms,Bathrooms
0,ce,C0007A,Fairfield,OH,770,675,1,1,1.0
1,ce,C0007B,Fairfield,OH,770,675,1,1,1.0
2,ce,C0007C,Fairfield,OH,780,675,1,1,1.0
3,ce,C0007D,Fairfield,OH,780,675,1,1,1.0
4,ce,C0007E,Fairfield,OH,770,675,1,1,1.0
5,ce,C0007F,Fairfield,OH,685,675,1,1,1.0
6,ce,C0007G,Fairfield,OH,780,675,1,1,1.0
7,ce,C0007H,Fairfield,OH,780,675,1,1,1.0
8,ce,C0007J,Fairfield,OH,790,675,0,1,1.0
9,ce,C0007K,Fairfield,OH,720,675,1,1,1.0
10,ce,C0007L,Fairfield,OH,790,675,1,1,1.0
11,ce,C0007M,Fairfield,OH,790,675,1,1,1.0
12,ce,C5269A,Fairfield,OH,675,675,1,1,1.0
13,ce,C5269B,Fairfield,OH,675,675,1,1,1.0
14,ce,C5269C,Fairfield,OH,675,675,1,1,1.0
15,ce,C5269D,Fairfield,OH,675,675,1,1,1.0
16,ce,C5269E,Fairfield,OH,685,675,1,1,1.0
17,ce,C5269F,Fairfield,OH,685,675,1,1,1.0
18,ce,C5269G,Fairfield,OH,685,675,0,1,1.0
19,ce,C5269H,Fairfield,OH,780,675,1,1,1.0
20,ce,C5269J,Fairfield,OH,695,675,1,1,1.0
21,ce,C5269K,Fairfield,OH,695,675,1,1,1.0
22,ce,C5269L,Fairfield,OH,695,675,1,1,1.0
23,ce,C5269M,Fairfield,OH,695,675,1,1,1.0
24,ce,C5271A,Fairfield,OH,675,675,1,1,1.0
25,ce,C5271B,Fairfield,OH,675,675,1,1,1.0
26,ce,C5271C,Fairfield,OH,675,675,0,1,1.0
27,ce,C5271D,Fairfield,OH,770,675,1,1,1.0
28,ce,C5271E,Fairfield,OH,685,675,1,1,1.0
29,ce,C5271F,Fairfield,OH,685,675,1,1,1.0
30,ce,C5271G,Fairfield,OH,685,675,1,1,1.0
31,ce,C5271H,Fairfield,OH,685,675,1,1,1.0
32,ce,C5271J,Fairfield,OH,800,675,1,1,1.0
33,ce,C5271K,Fairfield,OH,705,675,1,1,1.0
34,ce,C5271L,Fairfield,OH,705,675,1,1,1.0
35,ce,C5271M,Fairfield,OH,800,675,1,1,1.0
36,ce,C5273A,Fairfield,OH,675,675,1,1,1.0
37,ce,C5273B,Fairfield,OH,675,675,1,1,1.0
38,ce,C5273C,Fairfield,OH,675,675,1,1,1.0
39,ce,C5273D,Fairfield,OH,770,675,1,1,1.0
40,ce,C5273E,Fairfield,OH,685,675,0,1,1.0
41,ce,C5273F,Fairfield,OH,685,675,1,1,1.0
42,ce,C5273G,Fairfield,OH,685,675,1,1,1.0
43,ce,C5273H,Fairfield,OH,685,675,0,1,1.0
44,ce,C5273J,Fairfield,OH,800,675,1,1,1.0
45,ce,C5273K,Fairfield,OH,705,675,1,1,1.0
46,ce,C5273L,Fairfield,OH,705,675,1,1,1.0
47,ce,C5273M,Fairfield,OH,705,675,1,1,1.0
48,ce,C5303A,Fairfield,OH,665,675,0,1,1.0
49,ce,C5303B,Fairfield,OH,665,675,1,1,1.0
50,ce,C5303C,Fairfield,OH,770,675,1,1,1.0
51,ce,C5303D,Fairfield,OH,665,675,1,1,1.0
52,ce,C5303E,Fairfield,OH,780,675,1,1,1.0
53,ce,C5303F,Fairfield,OH,780,675,1,1,1.0
54,ce,C5303G,Fairfield,OH,675,675,1,1,1.0
55,ce,C5303H,Fairfield,OH,675,675,1,1,1.0
56,ce,C5303J,Fairfield,OH,685,675,1,1,1.0
57,ce,C5303K,Fairfield,OH,685,675,1,1,1.0
58,ce,C5303L,Fairfield,OH,790,675,1,1,1.0
59,ce,C5303M,Fairfield,OH,685,675,1,1,1.0
60,ce,C5305A,Fairfield,OH,770,675,0,1,1.0
61,ce,C5305B,Fairfield,OH,770,675,1,1,1.0
62,ce,C5305C,Fairfield,OH,770,675,1,1,1.0
63,ce,C5305D,Fairfield,OH,770,675,1,1,1.0
64,ce,C5305E,Fairfield,OH,675,675,1,1,1.0
65,ce,C5305F,Fairfield,OH,675,675,0,1,1.0
66,ce,C5305G,Fairfield,OH,675,675,1,1,1.0
67,ce,C5305H,Fairfield,OH,675,675,1,1,1.0
68,ce,C5305J,Fairfield,OH,685,675,1,1,1.0
69,ce,C5305K,Fairfield,OH,685,675,1,1,1.0
70,ce,C5305L,Fairfield,OH,685,675,1,1,1.0
71,ce,C5305M,Fairfield,OH,780,675,1,1,1.0
72,ce,C5307A,Fairfield,OH,665,675,1,1,1.0
73,ce,C5307B,Fairfield,OH,770,675,1,1,1.0
74,ce,C5307C,Fairfield,OH,770,675,1,1,1.0
75,ce,C5307D,Fairfield,OH,770,675,1,1,1.0
76,ce,C5307E,Fairfield,OH,770,675,1,1,1.0
77,ce,C5307F,Fairfield,OH,675,675,0,1,1.0
78,ce,C5307G,Fairfield,OH,675,675,1,1,1.0
79,ce,C5307H,Fairfield,OH,675,675,1,1,1.0
80,ce,C5307J,Fairfield,OH,685,675,0,1,1.0
81,ce,C5307K,Fairfield,OH,790,675,1,1,1.0
82,ce,C5307L,Fairfield,OH,685,675,1,1,1.0
83,ce,C5307M,Fairfield,OH,790,675,1,1,1.0
84,ce,C5322A,Fairfield,OH,675,675,1,1,1.0
85,ce,C5322B,Fairfield,OH,675,675,1,1,1.0
86,ce,C5322C,Fairfield,OH,780,675,0,1,1.0
87,ce,C5322D,Fairfield,OH,780,675,0,1,1.0
88,ce,C5322E,Fairfield,OH,685,675,1,1,1.0
89,ce,C5322F,Fairfield,OH,685,675,1,1,1.0
90,ce,C5322G,Fairfield,OH,685,675,0,1,1.0
91,ce,C5322H,Fairfield,OH,685,675,1,1,1.0
92,ce,C5322J,Fairfield,OH,695,675,0,1,1.0
93,ce,C5322K,Fairfield,OH,695,675,1,1,1.0
94,ce,C5322L,Fairfield,OH,705,675,1,1,1.0
95,ce,C5322M,Fairfield,OH,800,675,1,1,1.0
96,ce,C5324A,Fairfield,OH,675,675,0,1,1.0
97,ce,C5324B,Fairfield,OH,675,675,0,1,1.0
98,ce,C5324C,Fairfield,OH,685,675,1,1,1.0
99,ce,C5324D,Fairfield,OH,780,675,0,1,1.0
100,ce,C5324E,Fairfield,OH,780,675,0,1,1.0
101,ce,C5324F,Fairfield,OH,685,675,0,1,1.0
102,ce,C5324G,Fairfield,OH,685,675,1,1,1.0
103,ce,C5324H,Fairfield,OH,685,675,0,1,1.0
104,ce,C5324J,Fairfield,OH,790,675,1,1,1.0
105,ce,C5324K,Fairfield,OH,695,675,1,1,1.0
106,ce,C5324L,Fairfield,OH,705,675,0,1,1.0
107,ce,C5324M,Fairfield,OH,705,675,1,1,1.0
108,ce,C5326A,Fairfield,OH,675,675,1,1,1.0
109,ce,C5326B,Fairfield,OH,770,675,1,1,1.0
110,ce,C5326C,Fairfield,OH,780,675,1,1,1.0
111,ce,C5326D,Fairfield,OH,780,675,1,1,1.0
112,ce,C5326E,Fairfield,OH,685,675,1,1,1.0
113,ce,C5326F,Fairfield,OH,780,675,1,1,1.0
114,ce,C5326G,Fairfield,OH,685,675,0,1,1.0
115,ce,C5326H,Fairfield,OH,685,675,1,1,1.0
116,ce,C5326J,Fairfield,OH,695,675,1,1,1.0
117,ce,C5326K,Fairfield,OH,695,675,0,1,1.0
118,ce,C5326L,Fairfield,OH,705,675,0,1,1.0
119,ce,C5326M,Fairfield,OH,705,675,0,1,1.0
120,ce,S1450A,Fairfield,OH,675,675,0,1,1.0
121,ce,S1450B,Fairfield,OH,675,675,0,1,1.0
122,ce,S1450C,Fairfield,OH,675,675,0,1,1.0
123,ce,S1450D,Fairfield,OH,675,675,0,1,1.0
124,ce,S1450E,Fairfield,OH,685,675,0,1,1.0
125,ce,S1450F,Fairfield,OH,685,675,0,1,1.0
126,ce,S1450G,Fairfield,OH,685,675,0,1,1.0
127,ce,S1450H,Fairfield,OH,685,675,0,1,1.0
128,ce,S1450J,Fairfield,OH,695,675,0,1,1.0
129,ce,S1450K,Fairfield,OH,695,675,0,1,1.0
130,ce,S1450L,Fairfield,OH,695,675,0,1,1.0
131,ce,S1450M,Fairfield,OH,695,675,0,1,1.0
