,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Property_Code_ce,Property_Code_fh,Property_Code_mpg,Property_Code_sh,Apt Size_0,Apt Size_large,Apt Size_medium,Apt Size_small
0,896.0,1,1400,3,2.5,26.0,245,1,0,0,0,0,1,0,0
2,824.0,1,1088,2,1.5,24.0,364,1,0,0,0,0,1,0,0
10,999.0,1,1400,3,2.5,54.0,365,1,0,0,0,0,1,0,0
13,834.0,1,1088,2,1.5,24.0,110,1,0,0,0,0,1,0,0
16,859.0,1,1088,2,1.5,32.0,365,1,0,0,0,0,1,0,0
17,640.0,1,905,2,1.0,10.0,31,1,0,0,0,0,0,1,0
19,680.0,1,905,2,1.0,20.0,319,1,0,0,0,0,0,1,0
20,670.0,1,905,2,1.0,30.0,364,1,0,0,0,0,0,1,0
21,650.0,1,905,2,1.0,10.0,336,1,0,0,0,0,0,1,0
22,665.0,1,905,2,1.0,25.0,267,1,0,0,0,0,0,1,0
24,679.0,1,905,2,1.0,20.0,326,1,0,0,0,0,0,1,0
25,676.0,1,905,2,1.0,26.0,74,1,0,0,0,0,0,1,0
29,720.0,1,905,2,1.0,10.0,366,1,0,0,0,0,0,1,0
30,570.0,1,675,1,1.0,10.0,19,1,0,0,0,0,0,1,0
31,590.0,1,675,1,1.0,20.0,128,1,0,0,0,0,0,1,0
35,639.0,1,675,1,1.0,24.0,122,1,0,0,0,0,0,1,0
36,580.0,1,675,1,1.0,10.0,365,1,0,0,0,0,0,1,0
39,629.0,1,675,1,1.0,21.0,366,1,0,0,0,0,0,1,0
40,600.0,1,675,1,1.0,20.0,31,1,0,0,0,0,0,1,0
42,665.0,1,905,2,1.0,25.0,182,1,0,0,0,0,0,1,0
43,657.0,1,905,2,1.0,27.0,303,1,0,0,0,0,0,1,0
44,650.0,1,905,2,1.0,10.0,407,1,0,0,0,0,0,1,0
45,655.0,1,905,2,1.0,15.0,364,1,0,0,0,0,0,1,0
46,680.0,1,905,2,1.0,30.0,365,1,0,0,0,0,0,1,0
52,709.0,1,905,2,1.0,32.0,213,1,0,0,0,0,0,1,0
53,670.0,1,955,2,2.0,30.0,229,1,0,0,0,0,0,1,0
57,681.0,1,905,1,2.0,29.0,353,1,0,0,0,0,0,1,0
66,698.0,1,955,2,2.0,18.0,303,1,0,0,0,0,0,1,0
67,635.0,1,905,1,2.0,20.0,334,1,0,0,0,0,0,1,0
70,680.0,1,955,2,2.0,31.0,366,1,0,0,0,0,0,1,0
73,665.0,1,905,1,2.0,26.0,366,1,0,0,0,0,0,1,0
74,680.0,1,955,2,2.0,20.0,244,1,0,0,0,0,0,1,0
