,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Apt Size
1,ce,t0013745,Rent Change,5/31/2014,C05266,11/9/2006,1/31/2015,896.0,1,1400,3,2.5,26.0,245 days 00:00:00.000000000,large
4,ce,t0013748,Rent Change,9/30/2013,C05272,9/28/2012,,800.0,0,1088,2,1.5,30.0,,large
5,ce,t0013748,Rent Change,11/1/2014,C05272,9/28/2012,10/31/2015,824.0,1,1088,2,1.5,24.0,364 days 00:00:00.000000000,large
9,ce,t0013749,Rent Change,12/31/2013,C05274,11/26/2008,,915.0,0,1400,3,2.5,35.0,,large
10,ce,t0013749,Rent Change,3/1/2015,C05274,11/26/2008,,924.0,0,1400,3,2.5,9.0,,large
11,ce,t0013749,Rent Change,2/29/2016,C05274,11/26/2008,,970.0,0,1400,3,2.5,46.0,,large
12,ce,t0013749,Rent Change,2/28/2018,C05274,11/26/2008,,1044.0,0,1400,3,2.5,74.0,,large
14,ce,t0013750,Rent Change,6/30/2013,C05276,7/21/2001,,890.0,0,1400,3,2.5,10.0,,large
15,ce,t0013750,Rent Change,6/30/2014,C05276,7/21/2001,,917.0,0,1400,3,2.5,27.0,,large
16,ce,t0013750,Rent Change,6/30/2015,C05276,7/21/2001,,945.0,0,1400,3,2.5,28.0,,large
17,ce,t0013750,Rent Change,6/30/2016,C05276,7/21/2001,6/30/2017,999.0,1,1400,3,2.5,54.0,365 days 00:00:00.000000000,large
19,ce,t0013751,Rent Change,9/30/2013,C05278,9/16/2011,,803.0,0,1088,2,1.5,23.0,,large
22,ce,t0013751,Rent Change,1/1/2015,C05278,9/16/2011,,810.0,0,1088,2,1.5,7.0,,large
23,ce,t0013751,Rent Change,6/30/2015,C05278,9/16/2011,10/18/2015,834.0,1,1088,2,1.5,24.0,110 days 00:00:00.000000000,large
25,ce,t0013752,Rent Change,5/31/2014,C05280,4/23/2010,,803.0,0,1088,2,1.5,23.0,,large
26,ce,t0013752,Rent Change,5/31/2015,C05280,4/23/2010,,827.0,0,1088,2,1.5,24.0,,large
27,ce,t0013752,Rent Change,5/31/2016,C05280,4/23/2010,5/31/2017,859.0,1,1088,2,1.5,32.0,365 days 00:00:00.000000000,large
31,ce,t0013755,Rent Change,6/30/2013,C0003A,7/29/2010,7/31/2013,640.0,1,905,2,1.0,10.0,31 days 00:00:00.000000000,medium
33,ce,t0013756,Rent Change,9/1/2013,C0003B,9/1/2008,,660.0,0,905,2,1.0,30.0,,medium
34,ce,t0013756,Rent Change,9/30/2014,C0003B,9/1/2008,8/15/2015,680.0,1,905,2,1.0,20.0,319 days 00:00:00.000000000,medium
36,ce,t0013757,Rent Change,9/1/2013,C0003C,8/3/2012,8/31/2014,670.0,1,905,2,1.0,30.0,364 days 00:00:00.000000000,medium
39,ce,t0013759,Rent Change,6/30/2013,C0003E,6/26/2008,6/1/2014,650.0,1,905,2,1.0,10.0,336 days 00:00:00.000000000,medium
41,ce,t0013760,Rent Change,12/1/2013,C0003F,9/19/2003,8/25/2014,665.0,1,905,2,1.0,25.0,267 days 00:00:00.000000000,medium
44,ce,t0013762,Rent Change,5/31/2014,C0003H,12/2/2009,,659.0,0,905,2,1.0,19.0,,medium
45,ce,t0013762,Rent Change,5/31/2015,C0003H,12/2/2009,4/21/2016,679.0,1,905,2,1.0,20.0,326 days 00:00:00.000000000,medium
48,ce,t0013764,Rent Change,10/31/2013,C0003K,8/19/2011,1/13/2014,676.0,1,905,2,1.0,26.0,74 days 00:00:00.000000000,medium
50,ce,t0013765,Rent Change,8/1/2013,C0003L,8/1/2012,,680.0,0,905,2,1.0,30.0,,medium
51,ce,t0013765,Rent Change,7/31/2014,C0003L,8/1/2012,,700.0,0,905,2,1.0,20.0,,medium
52,ce,t0013765,Rent Change,9/1/2014,C0003L,8/1/2012,,710.0,0,905,2,1.0,10.0,,medium
53,ce,t0013765,Rent Change,7/31/2015,C0003L,8/1/2012,7/31/2016,720.0,1,905,2,1.0,10.0,366 days 00:00:00.000000000,medium
57,ce,t0013768,Rent Change,6/30/2013,C0007B,6/20/2012,7/19/2013,570.0,1,675,1,1.0,10.0,19 days 00:00:00.000000000,medium
61,ce,t0013771,Rent Change,9/30/2013,C0007E,10/1/2011,2/5/2014,590.0,1,675,1,1.0,20.0,128 days 00:00:00.000000000,medium
64,ce,t0013773,Rent Change,6/30/2013,C0007G,5/10/2012,,580.0,0,675,1,1.0,10.0,,medium
65,ce,t0013773,Rent Change,5/31/2014,C0007G,5/10/2012,,597.0,0,675,1,1.0,17.0,,medium
66,ce,t0013773,Rent Change,5/31/2015,C0007G,5/10/2012,,615.0,0,675,1,1.0,18.0,,medium
67,ce,t0013773,Rent Change,5/31/2016,C0007G,5/10/2012,9/30/2016,639.0,1,675,1,1.0,24.0,122 days 00:00:00.000000000,medium
69,ce,t0013774,Rent Change,6/30/2013,C0007H,6/15/2011,6/30/2014,580.0,1,675,1,1.0,10.0,365 days 00:00:00.000000000,medium
71,ce,t0013775,Rent Change,6/30/2013,C0007J,5/28/2010,,590.0,0,675,1,1.0,10.0,,medium
72,ce,t0013775,Rent Change,6/30/2014,C0007J,5/28/2010,,608.0,0,675,1,1.0,18.0,,medium
73,ce,t0013775,Rent Change,7/31/2015,C0007J,5/28/2010,7/31/2016,629.0,1,675,1,1.0,21.0,366 days 00:00:00.000000000,medium
76,ce,t0013777,Rent Change,9/30/2013,C0007L,9/17/2011,10/31/2013,600.0,1,675,1,1.0,20.0,31 days 00:00:00.000000000,medium
79,ce,t0013779,Rent Change,6/30/2013,C0011A,7/1/2012,,640.0,0,905,2,1.0,10.0,,medium
80,ce,t0013779,Rent Change,10/31/2013,C0011A,7/1/2012,5/1/2014,665.0,1,905,2,1.0,25.0,182 days 00:00:00.000000000,medium
83,ce,t0013781,Rent Change,12/1/2013,C0011C,11/5/2012,9/30/2014,657.0,1,905,2,1.0,27.0,303 days 00:00:00.000000000,medium
85,ce,t0013782,Rent Change,6/30/2013,C0011E,7/1/2011,8/11/2014,650.0,1,905,2,1.0,10.0,407 days 00:00:00.000000000,medium
87,ce,t0013783,Rent Change,8/1/2013,C0011F,7/9/2010,7/31/2014,655.0,1,905,2,1.0,15.0,364 days 00:00:00.000000000,medium
91,ce,t0013786,Rent Change,1/31/2014,C0011J,1/1/2012,1/31/2015,680.0,1,905,2,1.0,30.0,365 days 00:00:00.000000000,medium
95,ce,t0013787,Rent Change,1/31/2016,C0011K,1/2/2013,,722.0,0,905,2,1.0,41.0,,medium
96,ce,t0013787,Rent Change,7/31/2017,C0011K,1/2/2013,,769.0,0,905,2,1.0,47.0,,medium
97,ce,t0013787,Rent Change,8/31/2018,C0011K,1/2/2013,,815.0,0,905,2,1.0,46.0,,medium
100,ce,t0013789,Rent Change,3/31/2014,C0011M,4/1/2011,,670.0,0,905,2,1.0,20.0,,medium
101,ce,t0013789,Rent Change,3/31/2015,C0011M,4/1/2011,,677.0,0,905,2,1.0,7.0,,medium
102,ce,t0013789,Rent Change,5/1/2016,C0011M,4/1/2011,11/30/2016,709.0,1,905,2,1.0,32.0,213 days 00:00:00.000000000,medium
104,ce,t0013790,Rent Change,9/1/2013,C5250A,8/26/2011,4/18/2014,670.0,1,955,2,2.0,30.0,229 days 00:00:00.000000000,medium
106,ce,t0013791,Rent Change,12/1/2013,C5250B,11/24/2012,,615.0,0,905,1,2.0,10.0,,medium
107,ce,t0013791,Rent Change,3/1/2015,C5250B,11/24/2012,,621.0,0,905,1,2.0,6.0,,medium
108,ce,t0013791,Rent Change,2/29/2016,C5250B,11/24/2012,,652.0,0,905,1,2.0,31.0,,medium
109,ce,t0013791,Rent Change,2/28/2017,C5250B,11/24/2012,2/16/2018,681.0,1,905,1,2.0,29.0,353 days 00:00:00.000000000,medium
112,ce,t0013793,Rent Change,10/31/2013,C5250D,11/10/2002,,635.0,0,905,1,2.0,20.0,,medium
113,ce,t0013793,Rent Change,11/1/2014,C5250D,11/10/2002,,656.0,0,905,1,2.0,21.0,,medium
114,ce,t0013793,Rent Change,11/1/2015,C5250D,11/10/2002,,699.0,0,905,1,2.0,43.0,,medium
115,ce,t0013793,Rent Change,10/31/2016,C5250D,11/10/2002,,724.0,0,905,1,2.0,25.0,,medium
116,ce,t0013793,Rent Change,10/31/2017,C5250D,11/10/2002,,738.0,0,905,1,2.0,14.0,,medium
117,ce,t0013793,Rent Change,10/31/2018,C5250D,11/10/2002,,785.0,0,905,1,2.0,47.0,,medium
119,ce,t0013794,Rent Change,10/31/2013,C5250E,10/26/2009,,713.0,0,955,2,2.0,63.0,,medium
120,ce,t0013794,Rent Change,12/1/2013,C5250E,10/26/2009,,680.0,0,955,2,2.0,-33.0,,medium
121,ce,t0013794,Rent Change,11/1/2014,C5250E,10/26/2009,8/31/2015,698.0,1,955,2,2.0,18.0,303 days 00:00:00.000000000,medium
123,ce,t0013795,Rent Change,12/31/2013,C5250F,12/1/2010,11/30/2014,635.0,1,905,1,2.0,20.0,334 days 00:00:00.000000000,medium
125,ce,t0013796,Rent Change,6/30/2013,C5250G,4/13/2012,,630.0,0,955,2,2.0,-20.0,,medium
126,ce,t0013796,Rent Change,4/30/2014,C5250G,4/13/2012,,649.0,0,955,2,2.0,19.0,,medium
127,ce,t0013796,Rent Change,4/30/2015,C5250G,4/13/2012,4/30/2016,680.0,1,955,2,2.0,31.0,366 days 00:00:00.000000000,medium
129,ce,t0013797,Rent Change,5/31/2013,C5250H,9/1/1999,,625.0,0,905,1,2.0,10.0,,medium
130,ce,t0013797,Rent Change,5/31/2014,C5250H,9/1/1999,,639.0,0,905,1,2.0,14.0,,medium
131,ce,t0013797,Rent Change,8/31/2015,C5250H,9/1/1999,8/31/2016,665.0,1,905,1,2.0,26.0,366 days 00:00:00.000000000,medium
133,ce,t0013798,Rent Change,3/31/2014,C5250J,3/15/2013,11/30/2014,680.0,1,955,2,2.0,20.0,244 days 00:00:00.000000000,medium
136,ce,t0013800,Rent Change,6/30/2013,C5250L,6/16/2012,,680.0,0,955,2,2.0,10.0,,medium
137,ce,t0013800,Rent Change,6/30/2014,C5250L,6/16/2012,,700.0,0,955,2,2.0,20.0,,medium
138,ce,t0013800,Rent Change,6/30/2015,C5250L,6/16/2012,,721.0,0,955,2,2.0,21.0,,medium
139,ce,t0013800,Rent Change,6/30/2016,C5250L,6/16/2012,7/14/2017,751.0,1,955,2,2.0,30.0,379 days 00:00:00.000000000,medium
141,ce,t0013802,Rent Change,8/1/2013,C5252A,8/1/2010,,610.0,0,905,1,1.0,20.0,,medium
142,ce,t0013802,Rent Change,7/31/2014,C5252A,8/1/2010,9/20/2014,628.0,1,905,1,1.0,18.0,51 days 00:00:00.000000000,medium
144,ce,t0013803,Rent Change,9/30/2013,C5252B,9/14/2012,10/22/2013,610.0,1,905,1,1.0,20.0,22 days 00:00:00.000000000,medium
146,ce,t0013804,Rent Change,1/31/2014,C5252C,2/1/2013,6/30/2014,669.0,1,905,1,1.0,69.0,150 days 00:00:00.000000000,medium
148,ce,t0013805,Rent Change,8/1/2013,C5252D,7/12/2012,8/1/2014,620.0,1,905,1,1.0,20.0,365 days 00:00:00.000000000,medium
152,ce,t0013806,Rent Change,1/31/2015,C5252E,1/28/2011,,639.0,0,905,1,1.0,19.0,,medium
153,ce,t0013806,Rent Change,1/31/2016,C5252E,1/28/2011,7/10/2017,677.0,1,905,1,1.0,38.0,526 days 00:00:00.000000000,medium
155,ce,t0013807,Rent Change,12/1/2013,C5252F,10/5/2011,4/30/2014,640.0,1,905,1,1.0,40.0,150 days 00:00:00.000000000,medium
157,ce,t0013808,Rent Change,12/1/2013,C5252G,11/29/2012,,616.0,0,905,1,1.0,16.0,,medium
158,ce,t0013808,Rent Change,3/1/2015,C5252G,11/29/2012,,622.0,0,905,1,1.0,6.0,,medium
159,ce,t0013808,Rent Change,2/29/2016,C5252G,11/29/2012,8/15/2016,652.0,1,905,1,1.0,30.0,168 days 00:00:00.000000000,medium
161,ce,t0013809,Rent Change,2/28/2014,C5252H,2/22/2013,8/31/2014,642.0,1,905,1,1.0,42.0,184 days 00:00:00.000000000,medium
163,ce,t0013810,Rent Change,9/30/2013,C5252J,9/14/2012,,594.0,0,905,1,1.0,-16.0,,medium
164,ce,t0013810,Rent Change,1/1/2015,C5252J,9/14/2012,7/10/2015,606.0,1,905,1,1.0,12.0,190 days 00:00:00.000000000,medium
167,ce,t0013812,Rent Change,12/1/2013,C5252L,11/13/2012,9/7/2014,636.0,1,905,1,1.0,16.0,280 days 00:00:00.000000000,medium
169,ce,t0013813,Rent Change,6/30/2013,C5252M,10/12/1991,,660.0,0,905,1,1.0,30.0,,medium
170,ce,t0013813,Rent Change,7/31/2014,C5252M,10/12/1991,4/30/2015,680.0,1,905,1,1.0,20.0,273 days 00:00:00.000000000,medium
172,ce,t0013814,Rent Change,12/31/2013,C5254A,12/14/2012,,625.0,0,905,1,2.0,20.0,,medium
173,ce,t0013814,Rent Change,1/1/2015,C5254A,12/14/2012,5/1/2015,638.0,1,905,1,2.0,13.0,120 days 00:00:00.000000000,medium
175,ce,t0013815,Rent Change,1/31/2014,C5254B,1/16/2012,9/30/2014,670.0,1,955,2,2.0,30.0,242 days 00:00:00.000000000,medium
177,ce,t0013816,Rent Change,9/1/2013,C5254C,8/10/2010,3/31/2014,635.0,1,905,1,2.0,20.0,211 days 00:00:00.000000000,medium
