Unit_Code,Ref_Unit_Id,Property_Code,Ref_Property_ID,Record_Type,Date,Rent,Deposit,Sqft,FSetAside,UtilityAllowance,ContractRent,RoomId,BedId,RDBasicRent,NewRentsId
C0003A,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,5/20/2013,660,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,4/1/2015,680,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,7/15/2015,719,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,3/31/2016,734,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,8/4/2016,749,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,3/27/2018,799,0,905,0,0,0,,,0,
C0003A,,ce,,Rent Change,9/21/2018,849,0,905,0,0,0,,,0,
C0003B,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003B,,ce,,Rent Change,5/20/2013,660,0,905,0,0,0,,,0,
C0003B,,ce,,Rent Change,4/1/2015,680,0,905,0,0,0,,,0,
C0003B,,ce,,Rent Change,7/15/2015,719,0,905,0,0,0,,,0,
C0003B,,ce,,Rent Change,3/31/2016,734,0,905,0,0,0,,,0,
C0003B,,ce,,Rent Change,8/4/2016,749,0,905,0,0,0,,,0,
C0003B,,ce,,Rent Change,3/27/2018,799,0,905,0,0,0,,,0,
C0003C,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,4/17/2013,640,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,5/20/2013,670,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,4/1/2015,690,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,7/15/2015,729,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,3/31/2016,744,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,8/4/2016,759,0,905,0,0,0,,,0,
C0003C,,ce,,Rent Change,3/27/2018,809,0,905,0,0,0,,,0,
C0003D,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,4/17/2013,640,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,5/20/2013,670,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,4/1/2015,690,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,6/15/2015,715,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,7/15/2015,754,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,3/31/2016,769,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,8/4/2016,784,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,3/27/2018,834,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,9/21/2018,849,0,905,0,0,0,,,0,
C0003D,,ce,,Rent Change,10/29/2018,859,0,905,0,0,0,,,0,
C0003E,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,4/17/2013,640,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,5/20/2013,670,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,4/1/2015,690,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,7/15/2015,729,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,3/31/2016,744,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,8/4/2016,759,0,905,0,0,0,,,0,
C0003E,,ce,,Rent Change,3/27/2018,809,0,905,0,0,0,,,0,
C0003F,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,4/17/2013,640,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,5/20/2013,670,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,4/1/2015,690,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,7/15/2015,729,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,3/31/2016,744,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,8/4/2016,759,0,905,0,0,0,,,0,
C0003F,,ce,,Rent Change,3/31/2017,859,0,905,0,0,0,,,0,
C0003G,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,4/17/2013,640,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,5/20/2013,670,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,4/1/2015,690,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,7/15/2015,729,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,3/31/2016,744,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,8/4/2016,759,0,905,0,0,0,,,0,
C0003G,,ce,,Rent Change,3/27/2018,809,0,905,0,0,0,,,0,
C0003H,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,4/17/2013,640,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,5/20/2013,670,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,4/1/2015,690,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,7/15/2015,729,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,3/31/2016,744,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,8/4/2016,759,0,905,0,0,0,,,0,
C0003H,,ce,,Rent Change,3/27/2018,809,0,905,0,0,0,,,0,
C0003J,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,4/17/2013,650,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,5/20/2013,680,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,4/1/2015,700,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,7/15/2015,739,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,3/31/2016,754,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,8/4/2016,769,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,3/27/2018,819,0,905,0,0,0,,,0,
C0003J,,ce,,Rent Change,10/29/2018,869,0,905,0,0,0,,,0,
C0003K,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,4/17/2013,650,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,5/20/2013,680,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,4/1/2015,700,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,7/15/2015,739,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,3/31/2016,754,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,8/4/2016,769,0,905,0,0,0,,,0,
C0003K,,ce,,Rent Change,3/27/2018,819,0,905,0,0,0,,,0,
C0003L,,ce,,New Unit,4/1/2013,630,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,4/17/2013,650,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,5/20/2013,680,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,4/1/2015,700,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,7/15/2015,739,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,3/31/2016,754,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,8/4/2016,769,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,3/27/2018,819,0,905,0,0,0,,,0,
C0003L,,ce,,Rent Change,10/29/2018,869,0,905,0,0,0,,,0,
