,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy,City,State,Zip_Code,SQFT,BedRooms,Bathroom
1,ce,t0013745,Move Out,2015-02-02,C05266,2006-11-09,2015-01-31,896.0,0.0,3005 days 00:00:00.000000000,1,Fairfield,OH,45014,1400,3,2.5
8,ce,t0013745,Rent Change,2013-04-26,C05266,2006-11-09,,0.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
9,ce,t0013745,Rent Change,2013-04-30,C05266,2006-11-09,,870.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
11,ce,t0013745,Rent Change,2014-05-31,C05266,2006-11-09,,896.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
18,ce,t0024767,Rent Change,2016-03-31,C05266,2015-04-01,,990.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
23,ce,t0024767,Rent Change,2018-04-30,C05266,2015-04-01,,1199.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
26,ce,t0013747,Move Out,2013-08-12,C05270,2012-07-16,2013-08-11,770.0,0.0,391 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
30,ce,t0013747,Rent Change,2013-04-26,C05270,2012-07-16,,0.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
31,ce,t0013747,Rent Change,2013-04-30,C05270,2012-07-16,,770.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
33,ce,t0015901,Move Out,2015-09-30,C05270,2013-10-01,2015-09-30,863.0,0.0,729 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
42,ce,t0015901,Rent Change,2014-09-30,C05270,2013-10-01,,863.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
44,ce,t0025784,Move Out,2017-10-24,C05270,2015-10-24,2017-10-23,864.0,0.0,730 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
53,ce,t0025784,Rent Change,2016-09-30,C05270,2015-10-24,,853.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
54,ce,t0025784,Rent Change,2016-10-31,C05270,2015-10-24,,864.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
60,ce,t0037946,Rent Change,2017-12-31,C05270,2017-12-08,,2078.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
61,ce,t0037946,Rent Change,2018-02-28,C05270,2017-12-08,,1039.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
65,ce,t0013748,Move Out,2015-10-31,C05272,2012-09-28,2015-10-31,824.0,0.0,1128 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
69,ce,t0013748,Rent Change,2013-04-26,C05272,2012-09-28,,0.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
70,ce,t0013748,Rent Change,2013-04-30,C05272,2012-09-28,,770.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
71,ce,t0013748,Rent Change,2013-09-30,C05272,2012-09-28,,800.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
76,ce,t0013748,Rent Change,2014-11-01,C05272,2012-09-28,,824.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
82,ce,t0027820,Rent Change,2016-01-18,C05272,2016-02-01,,849.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
86,ce,t0032724,Move Out,2018-05-07,C05272,2017-04-29,2018-05-04,881.0,0.0,370 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
96,ce,t0032724,Rent Change,2017-05-31,C05272,2017-04-29,,881.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
99,ce,t0039479,Move Out,2019-01-02,C05272,2018-05-19,2019-01-02,975.0,0.0,228 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
104,ce,t0039479,Rent Change,2018-05-31,C05272,2018-05-19,,975.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
111,ce,t0013749,Rent Change,2013-04-26,C05274,2008-11-26,,0.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
112,ce,t0013749,Rent Change,2013-04-30,C05274,2008-11-26,,880.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
113,ce,t0013749,Rent Change,2013-10-31,C05274,2008-11-26,,1795.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
114,ce,t0013749,Rent Change,2013-12-01,C05274,2008-11-26,,880.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
115,ce,t0013749,Rent Change,2013-12-31,C05274,2008-11-26,,915.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
